出来る, 死ぬ(0.84), 随意(0.83), 若い(0.80), 気がつく(0.80), 無い(0.80), 届く(0.79), 意地(0.79), 幸福(0.79), 極める(0.79), 多い(0.78), 機嫌(0.78), る(0.77), 曖昧(0.77), 人望(0.77), 借りる(0.77), 分かる(0.77), 真似る(0.77), 碌(0.77), 姓名(0.77), 及ぼす(0.77), あきらめる(0.76), 手際(0.76), 他人(0.76), 身の上(0.76), いろいろ(0.76), なれる(0.76), 凝る(0.76), あいつ(0.76), 恐れる(0.76), 一体(0.76),
く, 間違える(0.78), 写真(0.77), 引っ張る(0.77), 括る(0.76), 図(0.76), 見事(0.75), きく(0.75), 針箱(0.74), 使える(0.74), ステッキ(0.74), 冷たい(0.74), 席(0.74), 髭(0.74), 恭しい(0.74), 雁(0.74), 拍(0.73), 帽子(0.73), 夕べ(0.73), きる(0.73), たん(0.73), 春風(0.73), 先(0.73), 捻る(0.73), 天気(0.72), 遊び(0.72), 日曜(0.72), 構える(0.72), 調(0.72), 着く(0.72), 持ち出す(0.72),
卒業, 権力(0.91), 弁解(0.91), 杉原(0.91), 恥ずかしい(0.91), 余裕(0.90), 式(0.90), 理学(0.90), 断定(0.90), 未来(0.89), あぶない(0.89), 致し方(0.89), 横風(0.89), 御礼(0.89), 不人情(0.89), 外出(0.89), 化(0.89), 同意(0.89), 愚物(0.89), 芸(0.89), 勘弁(0.89), 落ち(0.89), 両足(0.89), つき(0.89), 戦闘(0.89), 職業(0.89), 毒(0.89), 記(0.88), 防(0.88), 了解(0.88), 役に立つ(0.88),
げ, ぽか(0.92), 奉る(0.92), 砕ける(0.92), ふる(0.91), ン(0.91), 吸う(0.91), 幕(0.91), かえる(0.91), なり(0.90), かる(0.90), 端(0.90), くるむ(0.90), 拍子(0.90), 成(0.90), 襟(0.90), 塵(0.90), 入り(0.90), ちる(0.90), 表門(0.90), 釜(0.90), 吐き出す(0.89), 攫む(0.89), 敷居(0.89), 息(0.89), 皇(0.89), 格子(0.89), 失う(0.89), 好い加減(0.89), 針(0.89), 光線(0.89),
今日, 立派(0.79), 本当(0.77), 説(0.77), 出来事(0.77), 青年(0.77), 自炊(0.77), 振り(0.77), 以前(0.77), 同様(0.77), 首縊り(0.77), 月賦(0.76), 古物(0.76), 善(0.76), 義理(0.76), 生意気(0.76), 陰気(0.76), 記(0.76), 文(0.75), 子供(0.75), 合奏(0.75), つき(0.75), 仲間(0.75), 食わせる(0.75), 明治(0.75), 正直(0.75), してやる(0.75), ただ今(0.75), 朗読(0.75), 鎖(0.75), つづける(0.75),
道, 団体(0.90), 滑り(0.89), 積む(0.89), 少ない(0.88), 顕著(0.88), 窮屈(0.88), 直線(0.88), 古来(0.87), 将来(0.87), 霊(0.87), 程度(0.87), 競争(0.87), 個性(0.87), 血液(0.87), 驚かす(0.87), 大切(0.87), 果(0.87), 社会(0.87), 完全(0.87), 乞う(0.86), 進化(0.86), インスピレーション(0.86), 習慣(0.86), 両者(0.86), 個人(0.86), 運命(0.86), 境遇(0.86), 遊戯(0.86), 多く(0.86), 分別(0.86),
さ, 容易(0.74), くべる(0.73), 誂える(0.73), 女郎(0.72), 根本(0.72), 不都合(0.72), 食べる(0.72), たべる(0.72), 当り前(0.72), 不足(0.72), 考え(0.72), 探す(0.72), 答(0.72), 焚く(0.71), 若い(0.71), 寒い(0.71), 潰す(0.71), 膳(0.71), 価(0.71), 折る(0.71), 能(0.70), 疲れる(0.70), 旨い(0.70), ばい(0.70), 単純(0.70), 景色(0.70), 捨てる(0.70), 手数(0.70), 直る(0.70), 質(0.70),
もん, 下さる(0.84), そいつ(0.83), 売る(0.83), 今頃(0.82), 代目(0.82), 代(0.82), 王様(0.82), 舐める(0.81), 母(0.81), 食わせる(0.81), 女の子(0.81), 借る(0.80), 威張る(0.80), 価(0.80), あすこ(0.80), 地蔵(0.80), なに(0.79), 通(0.79), 引き受ける(0.79), いくら(0.79), たべる(0.79), 生きる(0.79), 株(0.79), せい(0.79), 冗談(0.79), 友人(0.79), 樽(0.79), 馬鹿(0.79), 医者(0.79), 剣突(0.78),
叮嚀, 合図(0.95), 糸瓜(0.94), 仕合せ(0.93), 断念(0.93), 同意(0.93), 拝聴(0.93), 恰好(0.93), 踏む(0.93), 違い(0.93), 憐れ(0.93), 噂(0.92), 詞(0.92), 報知(0.92), 見物(0.92), 何とか(0.92), 刑事(0.92), 赤ん坊(0.92), 腹の中(0.92), 辞儀(0.92), 窮(0.92), 承る(0.92), 好男子(0.92), 始め(0.92), 迷う(0.92), 進行(0.91), 負け(0.91), 秘密(0.91), 出(0.91), 使い(0.91), 質問(0.91),
す, 類(0.90), 張り(0.88), 野暮(0.88), 公徳(0.88), 崩す(0.88), 桂月(0.87), 問(0.87), さる(0.87), 本来(0.87), いい加減(0.87), 随意(0.87), 騒々しい(0.86), 下等(0.86), はいる(0.86), つまる(0.86), 甲斐(0.86), いま(0.86), 届く(0.86), 音楽(0.86), 係わる(0.86), 気がつく(0.86), 病(0.86), 何事(0.86), 船(0.86), 人情(0.86), 許す(0.86), 明瞭(0.86), 名誉(0.86), 害(0.86), 職業(0.86),
掛る, だす(0.90), 塀(0.89), 済ます(0.89), 空也(0.89), 散らす(0.89), 太平(0.88), 偏屈(0.88), 髭(0.88), 最前(0.88), 洩る(0.88), 留る(0.88), 切れる(0.88), 持ち出す(0.88), かくす(0.88), 気色(0.88), あまり(0.87), 重たい(0.87), 頬張る(0.87), 見廻す(0.87), 中途(0.87), 針箱(0.87), さす(0.87), 寄る(0.87), 出(0.87), 芋(0.87), 海鼠(0.87), 案(0.87), 袖(0.87), 捲く(0.87), 団子(0.86),
着ける, 領分(0.95), 多勢(0.95), 弓(0.95), 頭巾(0.95), 巣鴨(0.95), しめる(0.95), 叶う(0.95), 組(0.95), 煩悶(0.94), 伝(0.94), 業(0.94), 片付ける(0.94), バルザック(0.94), 意義(0.94), 根気(0.94), 生じる(0.94), 地球(0.94), 顔面(0.94), シャンパン(0.93), 当り前(0.93), 淋しい(0.93), 倒れる(0.93), 小僧(0.93), つくる(0.93), こする(0.93), ゆく(0.93), 道具(0.93), 出直す(0.93), 生長(0.93), 興味(0.93),
きまる, 領分(0.94), 隠れる(0.94), 愛す(0.93), 傍聴(0.92), くらい(0.92), 明瞭(0.92), 脳(0.92), 捕える(0.92), 小僧(0.92), かしこまる(0.91), 愛想(0.91), かかわる(0.91), 裏口(0.91), 恥辱(0.91), ける(0.91), 頭脳(0.91), 着ける(0.91), 汁(0.91), 任せる(0.91), 根気(0.91), 誤解(0.91), 喜ぶ(0.91), 業(0.90), もぐり込む(0.90), 尽きる(0.90), たまる(0.90), 称す(0.90), 地球(0.90), 何事(0.90), 気がつく(0.90),
忠告, 発する(0.94), 瘋癲(0.94), 弄(0.94), 疑う(0.94), 碁(0.94), しめる(0.94), 天道(0.94), 鼻汁(0.93), 動作(0.93), 愚物(0.93), 叶う(0.93), 役に立つ(0.93), 意義(0.93), あぶない(0.93), 特色(0.93), 天才(0.93), 器用(0.93), 済む(0.93), 何事(0.93), 同情(0.93), 悪寒(0.93), 体面(0.93), 化(0.92), 監督(0.92), 根気(0.92), 余裕(0.92), 手出し(0.92), 栄(0.92), 単簡(0.92), 騒々しい(0.92),
鳴き声, 釣れる(0.96), 能う(0.96), いい加減(0.95), 直る(0.95), ちまう(0.95), 永い(0.95), 叔父さん(0.95), 大勢(0.95), シャンパン(0.95), やれる(0.95), 元禄(0.94), 浜田(0.94), 負け(0.94), 変り(0.94), 騒々しい(0.94), 不道徳(0.94), つくる(0.94), 一体(0.94), 高等(0.94), 音楽(0.94), 徳利(0.94), 我々(0.94), 海鼠(0.94), 古い(0.94), 落ち(0.93), はずす(0.93), 釣(0.93), 落第(0.93), 女学校(0.93), 分かる(0.93),
悪寒, 負け(0.95), 断念(0.95), 不道徳(0.94), 出(0.94), 新しい(0.94), 不幸(0.93), 珍重(0.93), 愚物(0.93), 弁解(0.93), 片付ける(0.93), 外出(0.93), あぶない(0.93), 変人(0.93), 大頭(0.93), 上手(0.93), いま(0.93), 落第(0.93), 退校(0.93), 笑い(0.93), 忠告(0.93), 憤る(0.93), 親切(0.93), じゅう(0.92), 器用(0.92), 憐れ(0.92), はいる(0.92), 疑う(0.92), 出直す(0.92), 碁(0.92), 踊る(0.92),
恥, 人望(0.95), 人情(0.93), 器用(0.93), 髷(0.93), 許す(0.93), 罵る(0.93), 陥る(0.93), 断定(0.93), 余裕(0.93), 責任(0.93), 意地(0.93), 露見(0.93), 乏しい(0.93), 相互(0.93), 甲斐(0.93), 死(0.93), 手出し(0.92), 済む(0.92), 覚悟(0.92), 外国(0.92), 趣味(0.92), 騒々しい(0.92), 頓(0.92), 手際(0.92), 致し方(0.92), 瘋癲(0.92), 鑑定(0.92), 根気(0.92), 一体(0.92), 運命(0.92),
奉る, 新年(0.95), 皇(0.95), なり(0.95), 図(0.94), 感謝(0.94), 伝(0.94), 希望(0.94), かる(0.94), 蒟蒻(0.94), 迎える(0.93), 幕(0.93), 賛成(0.93), 鷲(0.93), 有様(0.93), 便宜(0.92), ふる(0.92), 失う(0.92), 意義(0.92), 癲癇(0.92), 咽(0.92), かえる(0.92), 拍(0.92), 困難(0.92), 塵(0.92), 多勢(0.92), 組(0.92), 代る(0.92), 括る(0.92), 道具(0.92), 一寸(0.92),
火, 胃(0.89), くべる(0.88), 義経(0.86), 半(0.85), 社(0.85), 誂える(0.85), 招魂(0.85), なか(0.85), 価(0.85), 戸(0.85), 秋(0.84), 介(0.84), 慾(0.84), 近く(0.84), 垣根(0.84), 隣る(0.84), 一間(0.84), 隔てる(0.84), 渡る(0.84), 盛(0.84), 焚く(0.84), 割る(0.83), 探す(0.83), 減る(0.83), いくら(0.83), 輪(0.83), 立て(0.83), 噛む(0.83), 距離(0.83), 坪(0.83),
の, 小説(0.62), 勉強(0.61), 覚(0.61), 旅順(0.61), おる(0.60), 職業(0.60), 時分(0.60), せい(0.59), たま(0.59), 団栗(0.58), 学生(0.58), 友人(0.58), 剣突(0.58), 手数(0.58), 智慧(0.58), 主張(0.58), 問(0.58), 野良(0.58), 大学(0.58), これ(0.58), 形容(0.57), 滅多(0.57), うるさい(0.57), 親切(0.57), 今(0.57), 権幕(0.57), 路(0.57), 自炊(0.57), いく(0.57), 下さる(0.57),
息, かえる(0.95), 曲る(0.94), 皇(0.94), 敷居(0.94), 失う(0.94), ふる(0.94), フロック(0.93), 着(0.93), 襟(0.93), くるむ(0.93), 拍子(0.93), 括る(0.92), 正面(0.92), 咽(0.92), 火鉢(0.92), かる(0.92), 拍(0.92), 奉る(0.92), 塵(0.92), たぎる(0.92), 入り(0.92), 伝(0.92), 膏(0.92), 太陽(0.92), 幾分(0.92), むく(0.92), 吶喊(0.92), 攫む(0.92), 長火鉢(0.92), 肌(0.91),
灯, 照らす(0.93), 杉(0.92), 北側(0.92), 隔てる(0.92), 灯明(0.92), 鋭い(0.92), 竹垣(0.92), 椀(0.92), 盛(0.91), 姿勢(0.91), やく(0.91), 空(0.91), 枕(0.91), 壁(0.90), 檜(0.90), 朝日(0.90), 願(0.90), どく(0.90), 板(0.90), 弾(0.90), 降る(0.90), 渡る(0.90), 周囲(0.90), ランプ(0.90), 乗じる(0.90), 火消(0.90), 近く(0.89), 勝手次第(0.89), 光(0.89), 後足(0.89),
乏しい, 悲しい(0.95), 日本人(0.95), 相互(0.95), 一体(0.94), 愛(0.94), 動作(0.94), 手出し(0.94), 断定(0.94), 致し方(0.93), 随意(0.93), 財産(0.93), 意地(0.93), 胸中(0.93), 格別(0.93), 淑女(0.93), 恐い(0.93), 人望(0.93), 恥ずかしい(0.93), 守る(0.93), 監督(0.93), 恥(0.93), 化(0.93), 芝居(0.92), 器用(0.92), 義務(0.92), 恐れる(0.92), 野暮(0.92), 所作(0.92), 造る(0.92), 余裕(0.92),
ば, ちゃん(0.86), 坊(0.86), 雑巾(0.84), 姉(0.82), 箸(0.82), 薩摩芋(0.81), 元(0.80), あら(0.80), 粒(0.79), 茶碗(0.78), 拭く(0.78), 主(0.78), 屋根(0.78), 招魂(0.78), 牡丹餅(0.78), 社(0.78), 突く(0.78), あつかう(0.77), 冷たい(0.77), 塀(0.77), 距離(0.77), 携える(0.77), とぶ(0.77), はたき(0.77), だらけ(0.77), 頬張る(0.77), 取り上げる(0.77), 格子(0.77), 控える(0.76), 寧(0.76),
側, 足音(0.87), 障子(0.86), 頬(0.86), 攫む(0.86), 戸棚(0.86), 尻(0.85), 抛り出す(0.85), 寝室(0.85), 隙(0.84), ぼる(0.84), 勝手口(0.84), 火鉢(0.84), 方面(0.83), 突く(0.83), 恭しい(0.83), たぎる(0.83), 響く(0.83), 這う(0.83), 取り出す(0.82), 着く(0.82), 入口(0.82), 括る(0.82), 針箱(0.82), 縮緬(0.82), 毛布(0.82), 尾(0.82), 籠る(0.82), 曲る(0.82), 天気(0.82), 否(0.81),
訪問, 留守(0.89), ○(0.88), 二絃琴(0.88), 昨日(0.87), 南無阿弥陀仏(0.87), 診察(0.86), 屋敷(0.86), 師匠(0.85), 主(0.84), 窺う(0.84), 藤(0.84), やむ(0.82), 戸(0.82), とぶ(0.82), 玄関(0.82), 鄭(0.82), こいつ(0.82), 寧(0.81), 使い(0.81), 乙(0.81), 室(0.81), 容子(0.81), 拭く(0.81), 羽根(0.81), 川(0.81), あら(0.80), さま(0.80), 呼ぶ(0.80), 横丁(0.80), 屋根(0.80),
意義, 多勢(0.97), 何事(0.97), 組(0.97), 業(0.97), 騒々しい(0.97), 怒り(0.97), 不道徳(0.97), 死(0.97), 愚物(0.97), つくる(0.97), 名づける(0.97), 有様(0.97), しようが(0.96), 一句(0.96), 尼(0.96), しめる(0.96), 単簡(0.96), 碁(0.96), 失う(0.96), あぶない(0.96), 瘋癲(0.96), 弄(0.96), 片付ける(0.96), 叶う(0.96), 途中(0.96), 珍重(0.96), シャンパン(0.96), 肥る(0.96), 伝(0.96), 発する(0.96),
小説, 心中(0.92), つまらない(0.91), 貴様(0.90), 団栗(0.89), 凄い(0.89), 職業(0.88), かた(0.88), 古い(0.88), ちまう(0.88), 権幕(0.88), 近頃(0.88), 気分(0.88), 落ち(0.88), 憤る(0.88), 格言(0.88), 友達(0.87), 頓(0.87), 来たす(0.87), 形容(0.87), 学生(0.87), 口調(0.87), 朋友(0.87), 旅順(0.87), 海鼠(0.87), 尼(0.87), 桂月(0.87), 格別(0.87), 返答(0.87), 豪傑(0.87), 近松(0.87),
やむ, あら(0.93), 雑巾(0.92), 遠く(0.92), 診察(0.91), 塀(0.91), 懐(0.91), 靴(0.91), 開ける(0.91), 牡丹餅(0.91), 泥(0.91), 立て(0.90), 風呂敷(0.90), 慾(0.90), 抱える(0.90), 格子(0.90), 滑る(0.90), 濡れる(0.90), 頬張る(0.90), 誂える(0.90), 静か(0.90), 空気(0.89), 健康(0.89), 膳(0.89), 携える(0.89), 徳利(0.89), 咽(0.89), 元(0.89), だらけ(0.89), 度目(0.89), 質(0.89),
静岡, 瓜(0.93), 夏(0.89), 申し込む(0.87), 医者(0.86), 伯父(0.86), 教える(0.82), さま(0.82), いらっしゃる(0.82), おっしゃる(0.82), 下さる(0.82), 藤(0.82), 客(0.82), 呼ぶ(0.81), 御飯(0.81), 代(0.81), 合奏(0.81), 二絃琴(0.81), 尋ねる(0.80), 甘木(0.79), いただく(0.79), 留守(0.79), 民(0.79), 暮(0.79), 師匠(0.79), 水島(0.79), あすこ(0.78), 結婚(0.78), 貰う(0.78), 国(0.78), 約束(0.77),
淋しい, 弓(0.97), 倒れる(0.97), 頭巾(0.97), 草履(0.97), まり(0.97), つづら(0.97), 運ぶ(0.97), はずす(0.97), 大勢(0.96), 土地(0.96), 立ち上がる(0.96), シャンパン(0.96), 組(0.96), 捨てる(0.96), 化粧(0.96), 多勢(0.96), いずれ(0.96), 沢庵(0.96), 尼(0.96), 汽車(0.96), 牡丹餅(0.96), 不道徳(0.96), 元禄(0.96), つくる(0.96), 甕(0.96), 長火鉢(0.96), むく(0.96), 来たす(0.96), 大頭(0.96), 穿く(0.95),
やめ, 両足(0.94), 活版(0.94), 張(0.94), 落ち(0.94), 用意(0.93), 濡れる(0.93), 豪傑(0.93), 閉口(0.93), 左衛門(0.92), 告訴(0.92), 着(0.92), 歩く(0.92), 釣(0.92), 胴(0.92), 誂える(0.92), 形容(0.92), とれる(0.92), 不幸(0.92), 全快(0.92), 直る(0.92), 降参(0.92), 勘定(0.92), 吶喊(0.92), 昼(0.92), 健康(0.92), 起こす(0.92), シャンパン(0.92), 新しい(0.92), 勘弁(0.91), かくす(0.91),
高い, 三つ(0.85), 追う(0.83), 距離(0.83), 鉢(0.81), あちら(0.81), 泥(0.80), 薄い(0.80), ランプ(0.80), 渡る(0.80), 元(0.80), 木綿(0.79), 下駄(0.79), 義経(0.79), 社(0.79), 鱈(0.79), 隣る(0.79), 行儀(0.79), 隔てる(0.79), とまる(0.79), 御両人(0.79), 招魂(0.79), ツユ(0.79), 椀(0.79), 後足(0.78), 細い(0.78), 一間(0.78), 土手(0.78), 分の(0.78), 価(0.78), 勘定(0.78),
深い, 細い(0.92), 収める(0.92), なす(0.92), 使用(0.92), 血液(0.92), 驚かす(0.91), 込める(0.91), 液(0.91), 案出(0.91), 習慣(0.91), 御両人(0.90), 分量(0.90), 盛(0.90), 稀(0.90), 無用(0.90), 傾く(0.90), 発見(0.90), 十分(0.90), 両方(0.90), 拍子(0.90), 抜く(0.90), 平(0.90), 女子(0.90), 奏す(0.90), 一時(0.89), 狂人(0.89), 年生(0.89), 欠く(0.89), 呼吸(0.89), 続ける(0.89),
め, 御免(0.84), 存じる(0.82), 賛成(0.82), 新体詩(0.80), 次第(0.80), 図(0.79), 相(0.79), 新年(0.78), 蒙る(0.78), 風流(0.77), 意(0.77), 奉る(0.77), 感謝(0.77), 駄弁(0.77), 舌(0.76), 礼(0.76), 拍(0.76), 雁(0.76), 童子(0.76), 飄然(0.76), 便宜(0.76), 計る(0.75), 言(0.75), 頓着(0.75), 恐縮(0.74), 致す(0.74), 迎える(0.74), 兼(0.74), 為(0.74), 括る(0.74),
やる, おくれる(0.79), 構う(0.79), 弱い(0.78), 欲しい(0.78), 届く(0.78), 時候(0.77), 直る(0.77), やれる(0.77), 盗む(0.77), 奮発(0.77), 休む(0.77), 心中(0.76), 食わせる(0.76), 借る(0.76), ちまう(0.76), たま(0.76), 近松(0.76), 気が付く(0.76), 上野(0.76), せい(0.76), 信用(0.76), 雇う(0.76), 友人(0.75), 義理(0.75), 延びる(0.75), 厭(0.75), いえる(0.75), 時刻(0.75), 鳴き声(0.75), 引き受ける(0.75),
分量, 盛(0.94), 灯明(0.94), 国民(0.94), 傾く(0.93), 細い(0.93), 弾(0.92), 籠(0.92), 近く(0.92), くるむ(0.92), 橋(0.92), ふる(0.92), 著述(0.92), 昼(0.91), 檜(0.91), 平(0.91), 米(0.91), 甕(0.91), 御両人(0.91), 椀(0.91), 粒(0.91), 火消(0.91), 下がる(0.91), 縁(0.91), 薄い(0.91), まり(0.91), 呼吸(0.90), 隊(0.90), 深い(0.90), 胴(0.90), 無用(0.90),
海鼠, 永い(0.97), 騒々しい(0.96), 不意(0.96), 大勢(0.96), 卸す(0.96), 古い(0.96), ちまう(0.95), 碁(0.95), や(0.95), 組(0.95), 名づける(0.95), 古人(0.95), 定める(0.95), かくす(0.95), 来たす(0.95), 大頭(0.95), 汝(0.95), 音楽(0.95), 心中(0.95), 叔父さん(0.94), じゅう(0.94), 負け(0.94), シャンパン(0.94), 濡れる(0.94), 釣(0.94), たま(0.94), 尼(0.94), 引きずる(0.94), つくる(0.94), 釣れる(0.94),
や, 大頭(0.96), 長火鉢(0.96), シャンパン(0.96), 来たす(0.96), 商売(0.96), 濡れる(0.96), 草履(0.95), 大勢(0.95), 番頭(0.95), 海鼠(0.95), きり(0.95), 据える(0.95), かくす(0.95), 牡丹餅(0.95), 分署(0.95), ちまう(0.95), 卸す(0.95), 尼(0.95), 女学校(0.94), 定める(0.94), 不道徳(0.94), 頭巾(0.94), 淋しい(0.94), 平手(0.94), まずい(0.94), 師(0.94), つづら(0.94), 途中(0.94), 畳む(0.94), 組(0.94),
賛成, 奉る(0.93), 感謝(0.92), 図(0.92), 面目(0.91), 天才(0.91), 礼(0.91), 希望(0.90), 存じる(0.90), 適当(0.90), 計る(0.89), 新年(0.89), 学生(0.89), 刑事(0.89), 久し振り(0.89), 拍(0.89), 童子(0.88), 蒟蒻(0.88), 分署(0.88), 俎(0.88), 至り(0.88), しめる(0.88), 新体詩(0.88), 俳句(0.88), 済ます(0.88), 意(0.88), 求める(0.88), なり(0.88), 恐縮(0.88), 見受ける(0.88), 機(0.88),
実行, 芸(0.94), 所作(0.92), 恐れる(0.92), ベースボール(0.92), 恥ずかしい(0.92), 式(0.91), 断定(0.91), 証明(0.91), 意地(0.91), 豚(0.91), 日本人(0.91), 困却(0.91), 訓戒(0.91), 淑女(0.91), 傷(0.90), 詩人(0.90), 自殺(0.90), 利益(0.90), 苦しみ(0.90), 義務(0.90), 観念(0.90), 断言(0.90), 愛(0.90), 多い(0.90), 完全(0.89), 権力(0.89), 欲しい(0.89), 始末(0.89), 交際(0.89), 侮辱(0.89),
場所, 煮る(0.93), 際限(0.93), 真似る(0.92), 意地(0.92), 情けない(0.92), 害(0.91), 格言(0.91), 試し(0.91), 下す(0.91), 権幕(0.91), やれる(0.91), 勘弁(0.91), 道理(0.91), 横風(0.90), 不人情(0.90), 野暮(0.90), 芝居(0.90), 能う(0.90), 断わる(0.90), 退屈(0.90), 鉄砲(0.90), 呑む(0.90), 楽(0.90), 口調(0.90), 気分(0.90), 電話(0.90), 命令(0.90), 病(0.90), 強情(0.90), 羨ましい(0.90),
途中, 分署(0.97), つくる(0.96), 度胸(0.96), 意義(0.96), シャンパン(0.96), 愚物(0.96), 怒り(0.96), 特別(0.96), 古物(0.96), あぶない(0.96), まずい(0.96), 代る(0.96), 碁(0.96), 不道徳(0.96), 名づける(0.96), しようが(0.95), 似合(0.95), 長火鉢(0.95), 多勢(0.95), 卸す(0.95), 淋しい(0.95), 騒々しい(0.95), 組(0.95), 引き返す(0.95), 倒れる(0.95), 怪(0.95), 頭巾(0.95), 一句(0.95), 何事(0.95), 単簡(0.95),
風呂, 木綿(0.88), 枕元(0.88), 引き(0.86), 入口(0.86), ぶら下がる(0.86), 手持無沙汰(0.86), 看板(0.85), 怒鳴る(0.85), 距離(0.85), 行儀(0.85), 着物(0.85), 多角(0.85), 見渡す(0.85), 土手(0.84), 裾(0.84), こしらえる(0.84), 急ぐ(0.84), 通り過ぎる(0.84), 留まる(0.84), 着(0.84), 細長い(0.84), 着く(0.84), 夜具(0.84), 箒(0.83), つづら(0.83), 床(0.83), 這う(0.83), 枕(0.83), 縮緬(0.83), 赤(0.83),
こいつ, 割(0.90), 屋敷(0.90), 立て(0.90), 善(0.90), 義経(0.90), 運ぶ(0.89), 剣呑(0.89), 南無阿弥陀仏(0.89), 代る(0.89), 余所(0.89), 甲(0.89), 慾(0.89), 番頭(0.89), 庚申山(0.89), 子供(0.89), 割る(0.89), 維新(0.89), 器量(0.89), 四方(0.89), 探す(0.88), 秋(0.88), つづら(0.88), 倒れる(0.88), さげる(0.88), 急ぐ(0.88), 草履(0.88), 屋根(0.88), 引き返す(0.88), 御両人(0.88), 牡丹餅(0.88),
肉, 局部(0.91), 親子(0.89), 血(0.89), 利用(0.88), 大兄(0.88), ころがる(0.88), 平(0.88), 長物(0.87), 和(0.87), 皮(0.87), 二つ(0.87), 忍ぶ(0.87), 進化(0.87), 十分(0.87), 限り(0.87), 団体(0.86), 願(0.86), 地面(0.86), 隊(0.86), なり(0.86), 全能(0.86), 蝉(0.86), 袴(0.86), あらわす(0.86), 果(0.86), 地(0.86), 加える(0.86), 載せる(0.86), 唐(0.86), 逆(0.86),
ら, 責任(0.87), 自信(0.87), 撰(0.86), 血液(0.85), 不明(0.85), 遺憾(0.85), 根気(0.85), 業(0.85), 音楽(0.84), くらい(0.84), 学(0.84), 傍聴(0.84), 末(0.84), 外(0.84), 捨てる(0.84), 髷(0.84), 還す(0.84), 巣鴨(0.84), 外国(0.84), 極(0.84), あきらめる(0.84), 区別(0.84), 便宜(0.84), 単簡(0.84), 覚悟(0.84), 杉原(0.83), 片付ける(0.83), 出せる(0.83), 国家(0.83), 強情(0.83),
る, 意地(0.93), 格言(0.93), 一体(0.93), 機嫌(0.92), 財産(0.92), 野暮(0.92), 取れる(0.92), 衰弱(0.92), 頓(0.92), 人望(0.92), 詩人(0.92), 守る(0.92), 不人情(0.91), 日本人(0.91), 権幕(0.91), 真似る(0.91), 届く(0.91), 人情(0.91), 乏しい(0.91), 憤る(0.91), 心中(0.90), 近松(0.90), 話頭(0.90), 器用(0.90), 悲しい(0.90), 淑女(0.90), 道理(0.90), 本気(0.90), あきらめる(0.90), 職業(0.90),
肌, 曲る(0.96), 通り過ぎる(0.95), くるむ(0.95), 塵(0.95), もぐり込む(0.95), 吐き出す(0.94), 釜(0.94), 敷居(0.94), 拍子(0.94), 失う(0.94), 攫む(0.94), 甕(0.94), 橋(0.94), 皇(0.94), 椀(0.94), 粒(0.94), 抱える(0.94), 弾(0.94), まり(0.94), 転がる(0.94), かえる(0.94), 汽車(0.94), 縮緬(0.93), 伝(0.93), こする(0.93), 立ち上がる(0.93), 公(0.93), 入り(0.93), むく(0.93), 赤(0.93),
しかる, 断定(0.91), 及ぼす(0.91), 個人(0.91), 顔面(0.91), 礼服(0.90), 凝る(0.90), 淑女(0.90), 影響(0.89), 無意味(0.89), 許す(0.89), 滑り(0.89), 境遇(0.89), 魚(0.89), 刺激(0.89), 義務(0.89), 製造(0.89), 断言(0.89), 種類(0.89), 手段(0.89), 両者(0.89), 鑑定(0.89), 直線(0.88), 完全(0.88), 生長(0.88), 常識(0.88), くい(0.88), 状態(0.88), 存する(0.88), 同一(0.88), 区別(0.88),
ろ, 驚(0.86), すます(0.75), 見つめる(0.75), 澄し(0.75), 洩る(0.75), 捻る(0.74), 捲く(0.74), 遠慮ない(0.73), 最前(0.73), 落ちつく(0.73), 付く(0.73), るい(0.73), 空也(0.73), 気味(0.72), 否や(0.71), 針箱(0.71), 上品(0.71), 菓子(0.70), たぎる(0.70), 眺める(0.70), あく(0.70), 黙る(0.70), 重たい(0.70), 一生懸命(0.69), 答える(0.69), 寄る(0.69), 独り(0.69), 喜ぶ(0.69), ハンケチ(0.69), 窮(0.69),
